Benchmark,latency-Q1_30MB,memory,ObIds,Completeness,Current Throughput
1,2900.494117647059,234.45538657052177,136,0.19428572,38.0
2,2422.1639344262294,258.7007942199707,256,0.19692308,37.36666666666667
3,2432.1475409836066,257.8894297281901,376,0.19789474,37.36666666666667
4,2434.031746031746,257.70113372802734,494,0.1976,38.0
5,2468.2166666666667,262.1389929453532,614,0.19806452,38.0
6,2445.03125,258.3636843363444,736,0.19891892,37.377049180327866
7,2426.6935483870966,258.67970085144043,856,0.19906977,37.377049180327866
8,2409.6949152542375,258.9791628519694,976,0.19918367,37.36666666666667
9,2471.6206896551726,258.40504264831543,1092,0.19854546,37.377049180327866
10,2464.6451612903224,259.64801025390625,1214,0.19901639,37.377049180327866
Final Results,2432.1,255.01183700561523,1234,0.19903226,38.0

AVERAGES,2482,256,,0.9951612999999999
