Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,4910.528735632184,154.30123079740085,144,0.13953489,63.50769230769231
2,4304.872727272727,167.7055721282959,272,0.13654618,62.93333333333333
3,5044.028571428571,174.32583554585776,368,0.124661244,63.47540983606557
4,4268.444444444444,172.05788485209146,504,0.12883435,63.2
5,4365.770833333333,170.36387379964194,640,0.13136289,63.47540983606557
6,5046.477272727273,177.54343477884927,752,0.12894376,63.47540983606557
7,4082.816326530612,171.079008102417,880,0.1295642,62.93333333333333
8,5694.041666666667,176.7847499847412,1016,0.13106295,63.46666666666667
9,3238.1162790697676,164.45908546447754,1128,0.12947658,64.0
10,5689.816326530612,190.37386576334634,1264,0.13068652,62.950819672131146
Final Results,2275.7,91.72802988688152,1344,0.13559322,64.0

AVERAGES,4447,164,,0.6779660999999999
