Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1129.1960784313726,78.61753199650691,126,0.19384615,38.0
2,962.5,82.64134788513184,248,0.1984,38.0
3,547.6724137931035,82.88509623209636,368,0.19891892,38.0
4,829.4150943396227,83.01036771138509,488,0.19918367,37.36666666666667
5,706.5555555555555,83.26260312398274,608,0.19934426,38.0
6,689.8703703703703,83.27131271362305,726,0.19890411,38.0
7,861.8392857142857,83.72955322265625,848,0.19952941,38.0
8,579.6538461538462,83.82880592346191,966,0.19917525,38.0
9,1001.1428571428571,83.91297849019368,1088,0.19963303,38.0
10,543.6981132075472,84.22478675842285,1208,0.19966942,38.0
Final Results,828.2608695652174,83.96963043212891,1256,0.19936508,38.0

AVERAGES,789,83,,0.9968254
