Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,5338.886597938144,81.32152029184195,124,0.19076923,38.0
2,5232.482352941176,85.95342063903809,240,0.192,38.0
3,5101.13698630137,85.86586252848308,350,0.1891892,38.0
4,4632.576923076923,86.34816233317058,484,0.19755103,38.0
5,5146.5,86.31673749287923,596,0.19540983,37.36666666666667
6,4843.191176470588,86.452699025472,728,0.19945206,38.0
7,4720.909090909091,86.55088742574056,838,0.19717647,38.0
8,5085.549295774648,86.82924397786458,952,0.19628866,38.0
9,4862.825,86.92086283365886,1084,0.19889908,38.0
10,4742.514705882353,87.28197987874348,1196,0.19768596,38.0
Final Results,5078.3125,87.44458465576172,1242,0.19714285,38.0

AVERAGES,4980,86,,0.98571425
