Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,1804.3939393939395,176.1710011408879,126,0.19384615,38.0
2,1512.2881355932204,192.00339889526367,246,0.1968,37.36666666666667
3,1529.2166666666667,191.2338924407959,366,0.19783784,37.36666666666667
4,1526.672131147541,189.78474362691244,486,0.19836734,37.377049180327866
5,1431.1290322580646,190.84429359436035,606,0.19868852,37.36666666666667
6,1534.65,191.8676560719808,726,0.19890411,37.377049180327866
7,1458.1833333333334,190.82244300842285,846,0.19905883,37.377049180327866
8,1451.111111111111,193.41554641723633,966,0.19917525,37.377049180327866
9,1541.0819672131147,192.13860575358072,1086,0.19926606,37.377049180327866
10,1481.864406779661,190.18646176656088,1206,0.19933884,38.0
Final Results,1444.95,197.69643020629883,1246,0.19936,36.19047619047619

AVERAGES,1519,190,,0.9968
