Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1139.639344262295,78.2988023024339,126,0.19384615,38.0
2,964.1153846153846,82.48725001017253,248,0.1984,38.0
3,522.5714285714286,82.69249153137207,368,0.19891892,38.0
4,907.7777777777778,82.88160133361816,488,0.19918367,37.36666666666667
5,694.2363636363636,83.06986490885417,608,0.19934426,38.0
6,722.0545454545454,83.15527153015137,726,0.19890411,38.0
7,851.9056603773585,83.49169476826985,848,0.19952941,38.0
8,574.5192307692307,83.64034970601399,966,0.19917525,37.36666666666667
9,956.1666666666666,83.60411326090495,1088,0.19963303,38.0
10,526.9473684210526,84.07631301879883,1208,0.19966942,38.0
Final Results,872.125,83.38933410644532,1256,0.19936508,36.53846153846154

AVERAGES,793,82,,0.9968254
