Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,897.5285714285715,63.2315908578726,128,0.9846154,8.0
2,674.6792452830189,65.96437327067058,248,0.992,8.0
3,328.44,66.02353223164876,368,0.9945946,8.0
4,723.1333333333333,66.18522262573242,488,0.9959184,8.0
5,308.4222222222222,66.11899439493816,606,0.9934426,8.0
6,722.0,66.24770991007487,728,0.9972603,8.0
7,288.0,66.3417460123698,848,0.99764705,7.866666666666666
8,733.2222222222222,66.37675348917644,968,0.99793816,8.0
9,293.6595744680851,66.48257764180501,1088,0.99816513,8.0
10,701.8260869565217,66.58673922220866,1208,0.9983471,8.0
Final Results,373.1666666666667,66.59723358154297,1258,0.99841267,8.0

AVERAGES,549,66,,4.99206335
