Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,975.78125,63.439039377065804,315,0.9692308,20.0
2,874.48,66.23622957865398,620,0.992,20.0
3,532.0754716981132,66.38476244608562,920,0.9945946,20.0
4,287.3207547169811,66.5703493754069,1220,0.9959184,20.0
5,740.8125,66.75487073262532,1520,0.9967213,19.666666666666668
6,360.45098039215685,66.95310719807942,1820,0.9972603,20.0
7,660.7209302325581,67.13468933105469,2120,0.99764705,20.0
8,494.6808510638298,67.39895566304524,2420,0.99793816,19.666666666666668
9,388.6734693877551,67.53653907775879,2720,0.99816513,20.0
10,683.3469387755102,67.67625745137532,3020,0.9983471,20.0
Final Results,394.3333333333333,67.81493225097657,3145,0.99841267,20.0

AVERAGES,581,66,,4.99206335
