Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,759.2615384615384,78.76574002779446,254,0.19689922,76.0
2,730.9915254237288,83.02174059549968,494,0.19839357,75.36666666666666
3,794.8073394495412,83.26052983601888,736,0.19945799,76.0
4,745.1929824561404,83.77562204996745,974,0.199182,76.0
5,765.9391304347826,84.04515202840169,1216,0.1996716,76.0
6,726.3963963963964,84.55857276916504,1454,0.1994513,76.0
7,730.3361344537815,84.71079126993816,1692,0.19929329,75.36666666666666
8,700.8035714285714,85.3328488667806,1934,0.1995872,75.36666666666666
9,877.7586206896551,85.46458562215169,1996,0.1997998,20.266666666666666
10,NaN,85.45796012878418,1996,0.1997998,0.0
Final Results,NaN,85.45888977050781,1996,0.1997998,0.0

AVERAGES,759,83,,0.998999
