Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1132.8163265306123,78.68810565655048,126,0.19384615,38.0
2,969.2352941176471,82.68294207255046,248,0.1984,38.0
3,555.7037037037037,82.96962292989095,368,0.19891892,38.0
4,882.8076923076923,82.97037442525227,488,0.19918367,37.377049180327866
5,720.5892857142857,83.25895500183105,608,0.19934426,38.0
6,633.4545454545455,83.2269401550293,726,0.19890411,38.0
7,884.0192307692307,83.68474833170573,848,0.19952941,37.36666666666667
8,507.3636363636364,83.8625602722168,966,0.19917525,38.0
9,1021.5283018867924,83.79238192240398,1088,0.19963303,38.0
10,591.3333333333334,84.18233998616536,1208,0.19966942,37.36666666666667
Final Results,586.1363636363636,84.31869659423828,1256,0.19936508,38.0

AVERAGES,771,83,,0.9968254
