Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,878.9328358208955,63.70696610670824,504,0.9692308,32.0
2,920.6875,66.73911730448405,992,0.992,32.0
3,611.030303030303,66.89404169718425,1472,0.9945946,32.0
4,335.3538461538462,67.2499631245931,1952,0.9959184,32.0
5,882.5,67.54007212320964,2432,0.9967213,32.0
6,558.9032258064516,67.8398666381836,2912,0.9972603,32.0
7,542.7179487179487,68.04137802124023,3392,0.99764705,31.40983606557377
8,802.95,68.43979008992513,3872,0.99793816,32.0
9,424.74626865671644,68.62819862365723,4352,0.99816513,32.0
10,564.65,69.02770360310872,4832,0.9983471,31.466666666666665
Final Results,850.12,69.24742431640625,5032,0.99841267,32.0

AVERAGES,670,67,,4.99206335
