Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,792.433962264151,78.99754216120793,128,0.19692308,38.0
2,786.6153846153846,82.3297945658366,248,0.1984,38.0
3,541.2777777777778,83.14644622802734,368,0.19891892,38.0
4,718.271186440678,83.19634691874187,488,0.19918367,38.0
5,519.3333333333334,83.11935997009277,608,0.19934426,38.0
6,761.9166666666666,83.51038678487141,728,0.19945206,37.36666666666667
7,546.7142857142857,83.48613357543945,848,0.19952941,38.0
8,789.7,83.9728495279948,968,0.19958763,38.0
9,892.8125,84.00006739298503,1088,0.1992674,38.0
10,860.4716981132076,84.16305414835612,1208,0.19933994,38.0
Final Results,835.6071428571429,84.49818929036458,1268,0.19937107,38.0

AVERAGES,731,83,,0.99685535
