Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1157.139534883721,78.75962770902194,126,0.19384615,38.0
2,958.6470588235294,82.50880304972331,248,0.1984,38.0
3,571.5217391304348,82.94959958394368,368,0.19891892,38.0
4,873.5111111111111,82.96003595987956,488,0.19837399,38.0
5,1072.4166666666667,83.08113034566243,608,0.19869281,38.0
6,1038.1666666666667,83.32004419962566,728,0.1989071,38.0
7,917.5227272727273,83.65719477335612,850,0.19953051,38.0
8,533.2978723404256,83.89094924926758,970,0.19958848,38.0
9,950.6734693877551,83.80804379781087,1090,0.1996337,38.0
10,748.9047619047619,84.24670791625977,1210,0.19966997,38.0
Final Results,438.0,84.39474639892578,1260,0.19968304,38.0

AVERAGES,841,83,,0.9984152
