Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,2301.1029411764707,79.7230476966271,124,0.19076923,38.0
2,2206.8253968253966,83.63400904337566,244,0.1952,38.0
3,1852.406779661017,84.01679674784343,364,0.19675675,38.0
4,1620.311475409836,84.27889823913574,486,0.19836734,38.0
5,2056.3709677419356,84.33842913309734,606,0.19868852,37.36666666666667
6,1828.046875,84.48095003763835,726,0.19890411,38.0
7,1602.904761904762,84.61222648620605,846,0.19905883,38.0
8,1927.7118644067796,84.95255470275879,966,0.19917525,38.0
9,1760.1333333333334,85.19166310628255,1086,0.19926606,38.0
10,1641.4915254237287,85.170347849528,1202,0.19867769,37.36666666666667
Final Results,1868.774193548387,85.27941284179687,1256,0.19936508,38.0

AVERAGES,1878,84,,0.9968254
