Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1055.875,79.24532376802884,126,0.19384615,38.0
2,1316.7241379310344,83.08828608194987,248,0.1984,38.0
3,1125.7333333333333,83.37908045450847,366,0.19783784,38.0
4,1160.864406779661,82.92063903808594,484,0.19755103,38.0
5,1189.6129032258063,83.5399824778239,608,0.19934426,38.0
6,1221.7068965517242,83.64409192403157,728,0.19945206,37.377049180327866
7,1209.578947368421,83.94458770751953,846,0.19905883,38.0
8,1139.546875,84.11670557657878,968,0.19958763,38.0
9,1163.1964285714287,84.22184816996257,1084,0.19889908,37.36666666666667
10,1245.9032258064517,84.65102068583171,1206,0.19933884,38.0
Final Results,1015.72,84.11349029541016,1256,0.19936508,38.0

AVERAGES,1167,83,,0.9968254
