Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,90.27272727272727,37.95272504366361,132,0.2,38.0
2,35.903225806451616,38.86131636301676,254,0.2,38.0
3,20.23076923076923,39.237403313318886,374,0.2,38.0
4,31.333333333333332,39.36778338750204,496,0.2,37.38709677419355
5,31.428571428571427,39.620260079701744,618,0.2,38.0
6,28.548387096774192,39.5565299987793,740,0.2,38.0
7,27.37037037037037,39.93297918637594,862,0.2,38.0
8,32.84848484848485,39.906601667404175,984,0.2,37.377049180327866
9,27.516129032258064,40.11011401812235,1106,0.2,38.0
10,27.48148148148148,40.514617602030434,1228,0.2,38.0
Final Results,23.470588235294116,40.42357540130615,1258,0.2,26.434782608695652

AVERAGES,34,39,,1.0
