Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,165.97058823529412,34.26051770723783,325,1.0,20.0
2,171.92307692307693,35.13878472646078,630,1.0,20.0
3,17.178571428571427,35.56981245676676,930,1.0,20.0
4,19.774193548387096,35.53942330678304,1230,1.0,20.0
5,52.67741935483871,35.331238746643066,1535,1.0,20.0
6,17.571428571428573,35.57585302988688,1835,1.0,20.0
7,22.5,35.245893796284996,2135,1.0,20.0
8,19.636363636363637,35.46212927500407,2440,1.0,20.0
9,21.92,35.7953831354777,2740,1.0,20.0
10,18.0,35.7709264755249,3040,1.0,20.0
Final Results,25.416666666666668,35.98132864634196,3165,1.0,15.625

AVERAGES,50,35,,5.0
