Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,86.36363636363636,38.11796100323017,130,0.2,38.0
2,27.28125,38.554006497065224,252,0.2,38.0
3,24.470588235294116,39.1665354569753,372,0.2,37.377049180327866
4,34.411764705882355,39.14128851890564,494,0.2,37.68852459016394
5,26.53125,39.73892386754354,616,0.2,37.68852459016394
6,24.794117647058822,39.732834577560425,736,0.2,37.377049180327866
7,27.65714285714286,39.65596477190653,858,0.2,38.0
8,25.0,40.04378215471903,978,0.2,37.377049180327866
9,31.973684210526315,40.317376136779785,1100,0.2,38.0
10,28.75,41.00004084904989,1220,0.2,37.36666666666667
Final Results,22.761904761904763,40.67333927154541,1260,0.2,28.5

AVERAGES,32,39,,1.0
