Benchmark,latency-Q1_30MB,memory,ObIds,Completeness,Current Throughput
1,121.03030303030303,75.36253885122446,128,0.2,38.0
2,59.72222222222222,88.7990091641744,248,0.2,37.36666666666667
3,59.84375,100.05392209688823,367,0.2,37.377049180327866
4,113.77142857142857,94.6745564142863,488,0.2,37.377049180327866
5,47.266666666666666,83.64232794443767,608,0.2,38.0
6,61.54838709677419,94.86618336041768,728,0.2,37.36666666666667
7,59.911764705882355,106.06750885645549,846,0.2,37.377049180327866
8,143.02777777777777,84.96425716082256,968,0.2,37.377049180327866
9,76.52777777777777,89.47330665588379,1087,0.2,37.377049180327866
10,62.45161290322581,100.62197375297546,1206,0.2,38.0
Final Results,53.96,109.05505243937175,1256,0.2,29.6875

AVERAGES,78,93,,1.0
