Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,93.93548387096774,39.61496837322529,132,0.2,38.0
2,28.2,38.821018298467,254,0.2,38.0
3,27.321428571428573,38.74160114924113,376,0.2,38.0
4,29.857142857142858,39.36171833674113,498,0.2,38.0
5,29.962962962962962,39.230051358540855,620,0.2,38.0
6,30.17241379310345,39.760021130243935,742,0.2,37.68852459016394
7,29.612903225806452,39.59556174278259,864,0.2,37.68852459016394
8,30.384615384615383,39.94000061353048,986,0.2,38.0
9,31.03448275862069,39.899628241856895,1108,0.2,38.0
10,27.862068965517242,40.55797425905863,1230,0.2,38.0
Final Results,21.25,40.334460735321045,1260,0.2,25.90909090909091

AVERAGES,34,39,,1.0
