Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,86.8108108108108,41.195110907921425,124,0.2,36.515625
2,25.133333333333333,40.513149420420326,241,0.2,36.442622950819676
3,31.161290322580644,41.224827686945595,357,0.2,36.131147540983605
4,26.666666666666668,41.80992611249288,474,0.2,36.442622950819676
5,24.928571428571427,42.202629725138344,588,0.19966044,35.81967213114754
6,36.625,43.200834115346275,702,0.2,35.19672131147541
7,28.741935483870968,44.03923734029134,815,0.19975491,35.19672131147541
8,34.388888888888886,50.79278516769409,928,0.2,35.19672131147541
9,38.696969696969695,45.18458763758341,1041,0.2,34.885245901639344
10,39.583333333333336,46.44280687967936,1152,0.19982654,34.885245901639344
Final Results,32.1,47.187199401855466,1190,0.2,26.464285714285715

AVERAGES,36,43,,1.0
