Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,89.8,39.7210326561561,130,0.2,38.0
2,27.379310344827587,38.63464085261027,252,0.2,38.0
3,29.8125,38.80512468020121,374,0.2,38.0
4,27.161290322580644,39.143919150034584,496,0.2,38.0
5,28.06896551724138,39.20096246401469,618,0.2,37.377049180327866
6,27.93548387096774,39.42872675259908,740,0.2,38.0
7,21.11111111111111,40.06431603431702,860,0.2,38.0
8,27.03448275862069,39.60518844922384,982,0.2,38.0
9,31.6,39.988746086756386,1104,0.2,37.377049180327866
10,26.333333333333332,40.424485206604004,1226,0.2,38.0
Final Results,22.38095238095238,40.10511512756348,1266,0.2,28.5

AVERAGES,32,39,,1.0
