Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,95.15384615384616,59.011831577007584,130,0.2,38.0
2,39.583333333333336,72.49607602755229,248,0.19919679,37.377049180327866
3,80.88888888888889,63.98985528945923,370,0.2,38.0
4,49.0,73.29136371612549,490,0.2,38.0
5,76.32352941176471,64.04238041241963,612,0.2,37.377049180327866
6,44.333333333333336,73.52467075983684,732,0.2,38.0
7,49.45454545454545,63.91000620524088,852,0.2,37.377049180327866
8,42.05882352941177,73.11922065416972,972,0.2,37.36666666666667
9,76.0,65.09070007006328,1094,0.2,38.0
10,47.34375,74.61543258031209,1214,0.2,37.36666666666667
Final Results,49.1,64.24543857574463,1254,0.2,28.5

AVERAGES,59,67,,1.0
