Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,88.15151515151516,38.73231491675744,128,0.2,37.40625
2,24.93548387096774,39.55288767814636,246,0.2,36.75409836065574
3,23.071428571428573,39.56478579839071,364,0.2,36.75409836065574
4,24.75862068965517,40.38034478823344,482,0.2,37.377049180327866
5,26.470588235294116,40.58643054962158,600,0.2,36.131147540983605
6,28.5,40.70382301012675,716,0.2,36.75409836065574
7,31.944444444444443,41.01491641998291,834,0.2,36.75409836065574
8,37.34285714285714,41.320096810658775,950,0.2,36.131147540983605
9,30.942857142857143,41.93437075614929,1066,0.2,36.131147540983605
10,35.31578947368421,42.100815852483116,1182,0.2,36.131147540983605
Final Results,31.071428571428573,42.562446975708006,1220,0.2,26.74074074074074

AVERAGES,34,40,,1.0
