Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,95.29629629629629,34.088064633882965,130,1.0,8.0
2,19.714285714285715,34.286279360453285,252,1.0,8.0
3,18.583333333333332,34.43352095286051,372,1.0,8.0
4,17.5,34.3571449915568,492,1.0,8.0
5,20.586206896551722,34.31026363372803,614,1.0,8.0
6,19.08,34.57307211558024,734,1.0,8.0
7,19.6,34.64535744984945,855,0.99883175,8.0
8,19.555555555555557,34.765147844950356,976,1.0,8.0
9,19.5,34.870028495788574,1096,1.0,8.0
10,21.346153846153847,34.86959934234619,1218,1.0,8.0
Final Results,17.05,35.05115286509196,1268,1.0,6.5

AVERAGES,26,34,,5.0
