Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,87.125,40.07886094313402,128,0.2,37.40625
2,27.545454545454547,39.58596674601237,248,0.2,37.377049180327866
3,27.125,39.68178844451904,368,0.2,37.377049180327866
4,26.058823529411764,39.63916818300883,488,0.2,37.377049180327866
5,26.457142857142856,40.115619818369545,608,0.2,37.377049180327866
6,31.542857142857144,40.126270055770874,726,0.2,37.377049180327866
7,28.114285714285714,40.499865770339966,846,0.2,37.36666666666667
8,26.275862068965516,40.89446862538656,966,0.2,37.377049180327866
9,31.2,40.97061554590861,1084,0.2,37.0655737704918
10,28.09090909090909,41.3439613978068,1204,0.2,37.0655737704918
Final Results,24.73913043478261,41.46089973449707,1244,0.2,29.555555555555557

AVERAGES,33,40,,1.0
