Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,672.9350649350649,39.82238468757043,260,0.19847329,76.0
2,671.15,39.09270819028219,502,0.19841897,76.0
3,646.6341463414634,39.49459385871887,746,0.19893333,75.37704918032787
4,626.038961038961,40.0703821182251,988,0.19919355,75.38709677419355
5,702.6617647058823,40.30964763959249,1235,0.19983819,76.0
6,668.7391304347826,40.708686192830406,1476,0.19959432,75.69354838709677
7,664.9594594594595,41.22565642992655,1719,0.19965157,75.68852459016394
8,667.9491525423729,41.34130311012268,1964,0.1995935,76.0
9,738.9666666666667,40.25121275583903,1998,0.2,9.967213114754099
10,NaN,39.485042889912926,1998,0.2,0.0
Final Results,NaN,39.6466646194458,1998,0.2,0.0

AVERAGES,673,40,,1.0
