Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,86.12121212121212,40.090054805462174,130,0.2,38.0
2,32.16129032258065,38.482226053873696,252,0.2,38.0
3,31.678571428571427,38.77783075968424,374,0.2,38.0
4,28.142857142857142,39.14625302950541,496,0.2,38.0
5,32.964285714285715,39.15572500228882,618,0.2,37.377049180327866
6,26.34375,39.70812567075094,740,0.2,38.0
7,25.708333333333332,39.848203579584755,861,0.2,38.0
8,28.9,39.91510279973348,983,0.2,38.0
9,29.78125,40.072840452194214,1105,0.2,38.0
10,29.666666666666668,40.26980288823446,1227,0.2,38.0
Final Results,26.473684210526315,40.573523902893065,1268,0.2,28.5

AVERAGES,34,39,,1.0
